lenght1,angle1,result
1.0,0,1
1.0,10,1
1.0,20,1
1.0,30,1
1.0,40,1
1.0,50,1
1.0,60,1
1.0,70,1
1.0,80,1
1.0,90,1
1.0,100,1
1.0,110,1
1.0,120,1
1.0,130,1
1.0,140,1
1.0,150,1
1.0,160,1
1.0,170,1
1.847,0,1
1.847,10,1
1.847,20,1
1.847,30,1
1.847,40,1
1.847,50,1
1.847,60,1
1.847,70,1
1.847,80,1
1.847,90,1
1.847,100,1
1.847,110,1
1.847,120,1
1.847,130,1
1.847,140,1
1.847,150,1
1.847,160,1
1.847,170,1
3.411,0,1
3.411,10,1
3.411,20,1
3.411,30,1
3.411,40,1
3.411,50,1
3.411,60,1
3.411,70,1
3.411,80,1
3.411,90,1
3.411,100,1
3.411,110,1
3.411,120,1
3.411,130,1
3.411,140,1
3.411,150,1
3.411,160,1
3.411,170,1
6.3,0,1
6.3,10,1
6.3,20,1
6.3,30,1
6.3,40,1
6.3,50,1
6.3,60,1
6.3,70,1
6.3,80,1
6.3,90,1
6.3,100,1
6.3,110,1
6.3,120,1
6.3,130,1
6.3,140,1
6.3,150,1
6.3,160,1
6.3,170,1
11.635,0,1
11.635,10,1
11.635,20,1
11.635,30,1
11.635,40,1
11.635,50,1
11.635,60,1
11.635,70,1
11.635,80,1
11.635,90,1
11.635,100,1
11.635,110,1
11.635,120,1
11.635,130,1
11.635,140,1
11.635,150,1
11.635,160,1
11.635,170,1
21.488,0,1
21.488,10,1
21.488,20,1
21.488,30,1
21.488,40,1
21.488,50,1
21.488,60,1
21.488,70,1
21.488,80,1
21.488,90,1
21.488,100,1
21.488,110,1
21.488,120,1
21.488,130,1
21.488,140,1
21.488,150,1
21.488,160,1
21.488,170,1
39.685,0,1
39.685,10,1
39.685,20,1
39.685,30,1
39.685,40,1
39.685,50,1
39.685,60,1
39.685,70,1
39.685,80,1
39.685,90,1
39.685,100,1
39.685,110,1
39.685,120,1
39.685,130,1
39.685,140,1
39.685,150,1
39.685,160,1
39.685,170,1
73.293,0,1
73.293,10,1
73.293,20,1
73.293,30,1
73.293,40,1
73.293,50,1
73.293,60,1
73.293,70,1
73.293,80,1
73.293,90,1
73.293,100,1
73.293,110,1
73.293,120,1
73.293,130,1
73.293,140,1
73.293,150,1
73.293,160,1
73.293,170,1
135.364,0,1
135.364,10,1
135.364,20,1
135.364,30,1
135.364,40,1
135.364,50,1
135.364,60,1
135.364,70,1
135.364,80,1
135.364,90,1
135.364,100,1
135.364,110,1
135.364,120,1
135.364,130,1
135.364,140,1
135.364,150,1
135.364,160,1
135.364,170,1
250.0,0,1
250.0,10,1
250.0,20,1
250.0,30,1
250.0,40,1
250.0,50,1
250.0,60,1
250.0,70,1
250.0,80,1
250.0,90,1
250.0,100,1
250.0,110,1
250.0,120,1
250.0,130,1
250.0,140,1
250.0,150,1
250.0,160,1
250.0,170,1
